author,title,description,source_name,source_id,Sentiment,Topics
Tess Owen,Far-Right Donald Trump Supporters Celebrate His Victory with Violent Memes and Calls for Executions,"“Many many many executions are warranted,” one Trump supporter wrote on Truth Social. “These traitors are a terminal cancer that MUST BE completely eradicated to make America healthy again.”",Wired,wired,Positive,Public Health
Caroline Haskins,ICE Started Ramping Up Its Surveillance Arsenal Immediately After Donald Trump Won,US Immigration and Customs Enforcement put out a fresh call for contracts for surveillance technologies before an anticipated surge in the number of people it monitors ahead of deportation hearings.,Wired,wired,Positive,Immigration
pkafka@insider.com (Peter Kafka),Did you need another reminder that Donald Trump watches TV? Here you go.,Twitter - and Elon Musk — are important for Trump 2.0. But Trump has always been a TV person and that's not going to change.,Business Insider,business-insider,Positive,Social Media and Influence
Erin Snodgrass,"Joe Rogan endorsed Donald Trump, saying Elon Musk made a 'compelling case' for the former president","Joe Rogan, who interviewed Donald Trump on his podcast, has been critical of Trump. But he said Elon Musk made a ""compelling case"" for Trump.",Business Insider,business-insider,Positive,
"Noah Lewis,Lilian Manansala","How the US voted in every election, from George Washington to Donald Trump",Maps show us how the US states have voted over time in 60 presidential elections — and who have been the winners and losers along the way.,Business Insider,business-insider,Negative,Elections and Campaigns
Eve Crosbie,Kamala Harris mocks Donald Trump as she joins long list of politicians to cameo on 'Saturday Night Live',"During her cameo, Harris appeared to poke fun at a recent video of Trump struggling to climb into a garbage truck at a campaign event.",Business Insider,business-insider,Positive,Elections and Campaigns
Erin Snodgrass,Peter Thiel says Elon Musk's embrace of Donald Trump helped other Silicon Valley leaders feel safe supporting him,Billionaire Peter Thiel credited Elon Musk's public support of Donald Trump with helping other tech leaders feel safe embracing the president-elect.,Business Insider,business-insider,Positive,
"Brian Bennett / Washington, D.C.",Kamala Harris Makes Her Final Pitch for Voters to ‘Turn the Page’ on Donald Trump,"The Vice President made her final pitch to “turn the page” on Trump—from the same spot he rallied a mob on Jan. 6, 2021.",Time,time,Neutral,Elections and Campaigns
LISA MASCARO and LOLITA C. BALDOR / AP,Donald Trump Asks Rep. Mike Waltz to Be National Security Adviser: What to Know,The nod would put Waltz at the forefront of a litany of crises—from Ukraine to the Middle East.,Time,time,Neutral,
G. Elliott Morris,How Donald Trump won the presidency,"We'll have to wait for fuller data, but here are 3 possible reasons.",ABC News,abc-news,Neutral,
