index,author,title,description,url,urlToImage,publishedAt,content,source_name,source_id
0,ecrosbie@businessinsider.com (Eve Crosbie),Director Ridley Scott said Denzel Washington's 'Gladiator II' character is 'very close' to Donald Trump: 'He creates chaos',"""Gladiator II,"" which also stars Paul Mescal and Pedro Pascal, has grossed over $300 million worldwide so far.",https://www.businessinsider.com/gladiator-ii-ridley-scott-compares-denzel-washington-character-donald-trump-2024-11,https://i.insider.com/67488b12ede4eeae392a3fd6?width=1200&format=jpeg,2024-11-29T09:34:15Z,"Ridley Scott said he took inspiration from President-elect Donald Trump for one of his characters in ""Gladiator II.""
In the filmmaker's sequel to his 2000 epic, Denzel Washington plays an ambitious … [+1692 chars]",Business Insider,business-insider
1,Alex Heath,Mark Zuckerberg had dinner with Donald Trump at Mar-a-Lago,The Meta CEO had dinner with President-elect Donald Trump at his Mar-a-Lago club after calling his survival of an assassination attempt “badass.”,https://www.theverge.com/2024/11/27/24307943/mark-zuckerberg-donald-trump-dinner-mar-a-lago,https://cdn.vox-cdn.com/thumbor/CT46sOKp0ZMWl19LYrGS4gDbaa4=/0x0:2040x1360/1200x628/filters:focal(1020x680:1021x681)/cdn.vox-cdn.com/uploads/chorus_asset/file/25263320/STK169_Zuckerberg_C_CVirginia.jpg,2024-11-28T02:11:28Z,"Mark Zuckerberg. | The Verge | Photo by Tom Williams via Getty Images

 

 Meta CEO Mark Zuckerberg met President-elect Donald Trump for dinner at Mar-a-Lago on Wednesday.
“It’s an important time fo… [+949 chars]",The Verge,the-verge
2,Wes Davis,Tech CEOs want to replicate Tim Cook’s Donald Trump playbook,Company leaders are looking to recreate the sort of relationship Tim Cook has forged with Donald Trump as he begins his second Presidential term.,https://www.theverge.com/2024/11/24/24304771/tim-cook-trump-relationship-playbook-tech-leaders,https://cdn.vox-cdn.com/thumbor/QHSszXsCI6zq2yQ_CAxnxLP-hEQ=/0x0:5568x3712/1200x628/filters:focal(2784x1856:2785x1857)/cdn.vox-cdn.com/uploads/chorus_asset/file/25752946/1183652392.jpg,2024-11-24T21:18:07Z,"Tech CEOs want to replicate Tim Cooks Donald Trump playbook
Tech CEOs want to replicate Tim Cooks Donald Trump playbook
 / Cook used dinner and stuck to one topic at a time to get concessions durin… [+2105 chars]",The Verge,the-verge
3,"bsaacks@businessinsider.com (Bradley Saacks,Michelle Abrego)","Billionaire Citadel founder Ken Griffin's advice for Donald Trump: Don't cut taxes, let ambitious immigrants into the US, and hire Apollo CEO Marc Rowan",Republican mega-donor Ken Griffin expressed his concerns about incoming President-elect Donald Trump's policies.,https://www.businessinsider.com/ken-griffin-advice-trump-treasury-secretary-tax-cuts-policies-2024-11,https://i.insider.com/673f802aede4eeae3928d70c?width=1200&format=jpeg,2024-11-21T18:49:22Z,Billionaire Citadel founder Ken Griffin is one of the biggest donors to the Republican Party but has some worries about the effect of potential policies promised by the incoming administration of Pre… [+3523 chars],Business Insider,business-insider
4,Pete Syme,It looks like Donald Trump will get to fly on his cut-price Air Force One after all,"Donald Trump renegotiated a deal with Boeing and designed his own Air Force One livery in his first term, but the new 747-8s are still being modified.",https://www.businessinsider.com/donald-trump-boeing-new-air-force-one-747-vc-25b-2024-11,https://i.insider.com/673dfaa2192f5258985990bf?width=1200&format=jpeg,2024-11-21T13:35:16Z,"Donald Trump renegotiated the Next Air Force One deal with Boeing's CEO during his first presidency.Alex Wong/Getty Images
<ul><li>Donald Trump renegotiated a deal with Boeing for a new Air Force On… [+4487 chars]",Business Insider,business-insider
5,phaasch@businessinsider.com (Palmer Haasch),No one would talk to Sebastian Stan about his Donald Trump movie for 'Actors on Actors': 'They were too afraid',"Sebastian Stan plays Donald Trump in the biopic ""The Apprentice."" He said other actors' teams wouldn't let them talk about the film with him.",https://www.businessinsider.com/sebastian-stan-variety-actors-on-actors-donald-trump-the-apprentice-2024-11,https://i.insider.com/673e601b9f2901eb60360e11?width=1200&format=jpeg,2024-11-21T02:35:08Z,"You won't see Sebastian Stan doing an ""Actors on Actors"" interview about his new Donald Trump movie ""The Apprentice,"" because, according to the actor, no one would talk to him about it.
Stan plays T… [+2734 chars]",Business Insider,business-insider
6,"John L. Dorman,Alice Tecotzky",Photos show Donald Trump and Elon Musk's post-election bromance,"Donald Trump and Elon Musk have been nearly inseparable since the election, from going to boxing matches, to meeting with Congress, to playing golf.",https://www.businessinsider.com/elon-musk-donald-trump-photos-bromance-doge-2024-11,https://i.insider.com/673cd2f4ede4eeae39286e27?width=1200&format=jpeg,2024-11-19T21:16:04Z,"President-elect Donald Trump and Tesla CEO Elon Musk have been nearly inseparable since the election, going to social and political events together.Chris Unger/Zuffa LLC
<ul><li>In the two weeks sin… [+3811 chars]",Business Insider,business-insider
7,Tom Carter,SpaceX gears up to catch Starship again — and Donald Trump may join Elon Musk for the launch,"SpaceX is set to conduct the sixth test flight of Starship, the 165-foot spacecraft that Musk wants to use to take humanity to Mars, on Tuesday.",https://www.businessinsider.com/elon-musk-launch-starship-again-donald-trump-may-attend-2024-11,https://i.insider.com/673c8209ede4eeae392853f8?width=1200&format=jpeg,2024-11-19T14:24:06Z,"SpaceX made history by returning the Heavy Booster to its launch site last month.SpaceX/Getty Images
<ul><li>SpaceX is planning to launch Starship for the sixth time on Tuesday.</li><li>It will once… [+3360 chars]",Business Insider,business-insider
8,ggoodwin@businessinsider.com (Grace Eliza Goodwin),This is the anti-ESG venture capital firm that Donald Trump Jr. is joining instead of taking a White House role,"Donald Trump Jr. will join Florida-based 1789 Capital, a VC firm that says it backs companies harmed by ESG. He won't have a White House role.",https://www.businessinsider.com/donald-trump-jr-joining-vc-firm-explained-2024-11,https://i.insider.com/6737ba43ede4eeae3927f98c?width=1200&format=jpeg,2024-11-16T10:17:01Z,"The venture capital firm that Donald Trump Jr. is reportedly joining eschews investments that push social and environmental issues and instead focuses on what it calls ""EIG,"" or entrepreneurship, inn… [+3432 chars]",Business Insider,business-insider
9,"Noah Lewis,Lilian Manansala","How the US voted in every election, from George Washington to Donald Trump",Maps show us how the US states have voted over time in 60 presidential elections — and who have been the winners and losers along the way.,https://www.businessinsider.com/election-president-states-vote-trump-harris-biden-electoral-college-history-2024-11,https://i.insider.com/6736e9a1ede4eeae3927c0a1?width=1200&format=jpeg,2024-11-15T15:56:34Z,"The United States has had 60 presidential elections, starting in 1789. New parties have come and gone, while new states expanded the electoral map. Maps show us how each state has voted over time — a… [+98 chars]",Business Insider,business-insider
